Title,Specs,Post Date,Options,Price,Installment
Hyundai Verna 2016,"['Hyundai', 'Verna', 'Light grey', 'M/T GLS', '56,000 Km', 'Cairo']",2023-06-18,"305,000 EGP",Yes
Hyundai Accent RB 2022,"['Hyundai', 'Accent RB', 'Silver', 'A/T / TINTED GLASS', '49,000 Km', 'Cairo']",2023-06-18,"675,000 EGP",No
Hyundai Accent RB 2022,"['Hyundai', 'Accent RB', 'Gray', '60,000 Km', 'Nasr city']",2023-06-18,"600,000 EGP",Yes
Hyundai Elantra HD 2023,"['Hyundai', 'Elantra HD', 'Silver', 'A/T / HIGHLINE TINTED GLASS 15', '129 Km', 'Giza']",2023-06-18,"800,000 EGP",Yes
Hyundai Elantra CN7 2021,"['Hyundai', 'Elantra CN7', 'Light grey', 'A/T / SMART PLUS', '73,000 Km', 'Sheikh Zayed City']",2023-06-18,"955,000 EGP",No
Hyundai Accent RB 2019,"['Hyundai', 'Accent RB', 'Dark red', 'A/T / GL / SR', '190,000 Km', 'Cairo']",2023-06-18,"465,000 EGP",No
Hyundai Tucson 2022,"['Hyundai', 'Tucson', 'Black', 'A/T / Redine', '7,000 Km', 'Nasr city']",2023-06-18,"1,650,000 EGP",Yes
Hyundai Elantra MD 2013,"['Hyundai', 'Elantra MD', 'Red', '170,000 Km', 'Monufia']",2023-06-18,"510,000 EGP",No
Hyundai Bayon 2022,"['Hyundai', 'Bayon', 'Silver', 'A/T / Dynamic', '6,000 Km', 'Nasr city']",2023-06-18,"885,000 EGP",No
Hyundai Tucson 2021,"['Hyundai', 'Tucson', 'Petroleum', 'A/T / Advanced', '57,000 Km', 'Tagamo3 - New Cairo']",2023-06-18,"1,590,000 EGP",No
Hyundai Tucson Turbo GDI 2021,"['Hyundai', 'Tucson Turbo GDI', 'Red', '68,000 Km', 'Cairo']",2023-06-18,"1,360,000 EGP",No
Hyundai Tucson GDI 2019,"['Hyundai', 'Tucson GDI', 'Silver', '90,000 Km', 'Nasr city']",2023-06-18,"1,250,000 EGP",Yes
Hyundai Elantra HD 2021,"['Hyundai', 'Elantra HD', 'Black', '48,000 Km', 'Giza']",2023-06-18,"550,000 EGP",No
Hyundai Elantra HD 2007,"['Hyundai', 'Elantra HD', 'Black', '150,000 Km', 'El Haram']",2023-06-18,"390,000 EGP",Yes
Hyundai Elantra 2009,"['Hyundai', 'Elantra', 'Black', '230,000 Km', 'Tagamo3 - New Cairo']",2023-06-18,"470,000 EGP",No
Hyundai Tucson Turbo GDI 2022,"['Hyundai', 'Tucson Turbo GDI', 'White', '40,000 Km', 'Mit Ghamr']",2023-06-18,"1,900,000 EGP",No
Hyundai Elantra AD 2019,"['Hyundai', 'Elantra AD', 'Gold', 'A/T / GL SR AD', '52,000 Km', 'Al Shorouk']",2023-06-18,"780,000 EGP",No
Hyundai Tucson 2019,"['Hyundai', 'Tucson', 'White', 'A/T / GLS / RED PACK / FACE LIFT', '85,000 Km', 'Obour City']",2023-06-18,"1,450,000 EGP",No
Hyundai Elantra CN7 2021,"['Hyundai', 'Elantra CN7', 'Blue', 'A/T / SMART PLUS', '65,000 Km', '6 October']",2023-06-18,"980,000 EGP",No
Hyundai Verna 2015,"['Hyundai', 'Verna', 'Gray', '188,552 Km', 'Cairo']",2023-06-18,"320,000 EGP",No
Hyundai Elantra CN7 2021,"['Hyundai', 'Elantra CN7', 'Black', '75,000 Km', '6 October']",2023-06-18,"860,000 EGP",No
Hyundai Elantra CN7 2022,"['Hyundai', 'Elantra CN7', 'Gray', 'A/T / SMART FUN', '15,000 Km', 'Maadi']",2023-06-18,"995,000 EGP",No
Hyundai Elantra 2003,"['Hyundai', 'Elantra', 'Black', '170,000 Km', 'Asyut']",2023-06-18,"325,000 EGP",No
Hyundai Matrix 2007,"['Hyundai', 'Matrix', 'Gold', '110,000 Km', 'Damanhur']",2023-06-18,"350,000 EGP",No
Hyundai Accent 2012,"['Hyundai', 'Accent', 'Silver', '6,000 Km', 'Giza']",2023-06-18,"370,000 EGP",No
Hyundai Elantra 1992,"['Hyundai', 'Elantra', 'Blue', '244,000 Km', 'Beheira']",2023-06-18,"90,000 EGP",No
Hyundai IX 35 2015,"['Hyundai', 'IX 35', 'White', '97,000 Km', 'El Mahalla']",2023-06-18,"770,000 EGP",No
Hyundai Tucson 2019,"['Hyundai', 'Tucson', 'White', '82,000 Km', 'Heliopolis']",2023-06-18,"1,135,000 EGP",No
Hyundai Verna 2013,"['Hyundai', 'Verna', 'Green', '175,000 Km', 'Alexandria']",2023-06-18,"250,000 EGP",No
Hyundai Elantra 2010,"['Hyundai', 'Elantra', 'Eggplant', '205,000 Km', 'Sohag']",2023-06-18,"375,000 EGP",No
Hyundai Accent RB 2021,"['Hyundai', 'Accent RB', 'Brown', '80,000 Km', 'Cairo']",2023-06-18,"630,000 EGP",No
Hyundai Getz 2010,"['Hyundai', 'Getz', 'Red', '103,000 Km', 'Helwan']",2023-06-18,"320,000 EGP",No
Hyundai Elantra MD 2016,"['Hyundai', 'Elantra MD', 'Black', '250,000 Km', 'Ismailia']",2023-06-18,"600,000 EGP",No
Hyundai Verna 2015,"['Hyundai', 'Verna', 'Black', '175,000 Km', 'Ismailia']",2023-06-18,"255,000 EGP",No
Hyundai Elantra HD 2008,"['Hyundai', 'Elantra HD', 'Eggplant', '190,000 Km', 'Sharqia']",2023-06-18,"350,000 EGP",No
Hyundai Accent RB 2011,"['Hyundai', 'Accent RB', 'Black', '150,000 Km', 'Cairo']",2023-06-18,"425,000 EGP",No
Hyundai Verna 2005,"['Hyundai', 'Verna', 'Red', '187,000 Km', 'Al Shorouk']",2023-06-18,"200,000 EGP",No
Hyundai Tucson 2022,"['Hyundai', 'Tucson', 'Silver', 'A/T / Redine', '7,500 Km', 'Tagamo3 - New Cairo']",2023-06-18,"1,625,000 EGP",No
Hyundai Verna 2010,"['Hyundai', 'Verna', 'Dark blue', '160,000 Km', 'Imbaba']",2023-06-18,"220,000 EGP",No
Hyundai Elantra MD 2012,"['Hyundai', 'Elantra MD', 'White', '135,000 Km', 'Suez']",2023-06-18,"530,000 EGP",No
Hyundai Excel 1998,"['Hyundai', 'Excel', 'Dark red', '360,000 Km', 'Khanka']",2023-06-18,"105,000 EGP",No
Hyundai Accent 2002,"['Hyundai', 'Accent', 'Dark red', '4,352 Km', 'Faiyum']",2023-06-18,"110,000 EGP",No
Hyundai Verna 2013,"['Hyundai', 'Verna', 'Silver', '147,000 Km', 'El Qanater El Khayreya']",2023-06-18,"220,000 EGP",No
Hyundai Accent RB 2019,"['Hyundai', 'Accent RB', 'Red', 'Automatic / GL', '44,000 Km', 'El Haram']",2023-06-18,"545,000 EGP",No
Hyundai Elantra CN7 2022,"['Hyundai', 'Elantra CN7', 'White', 'A/T / SMART PLUS', '22,000 Km', 'Qalyubia']",2023-06-18,"1,100,000 EGP",No
Hyundai Matrix 2022,"['Hyundai', 'Matrix', 'Silver', '80,000 Km', 'Cairo']",2023-06-18,"320,000 EGP",No
Hyundai Tucson GDI 2019,"['Hyundai', 'Tucson GDI', 'Black', 'A/T / GLS', '48,000 Km', 'El Minya']",2023-06-18,"1,200,000 EGP",No
Hyundai Matrix 2001,"['Hyundai', 'Matrix', 'Olive', '177,000 Km', 'Quesna']",2023-06-18,"350,000 EGP",No
Hyundai Excel 1997,"['Hyundai', 'Excel', 'Red', '- Km', 'Mokattam']",2023-06-18,"76,000 EGP",No
Hyundai Matrix 2008,"['Hyundai', 'Matrix', 'Silver', '151,000 Km', 'Mansoura']",2023-06-18,"295,000 EGP",No
Hyundai Creta 2017,"['Hyundai', 'Creta', 'Light grey', 'Automatic GLS ML', '145,000 Km', 'Nasr city']",2023-06-18,"770,000 EGP",No
Hyundai Verna 2007,"['Hyundai', 'Verna', 'Silver', '157,000 Km', 'Cairo']",2023-06-18,"165,000 EGP",No
Hyundai Tucson 2022,"['Hyundai', 'Tucson', 'Dark blue', 'A/T / COLLECTOR', '21 Km', 'Cairo']",2023-06-18,"1,650,000 EGP",Yes
Hyundai IX 35 2016,"['Hyundai', 'IX 35', 'Silver', '- Km', 'Cairo']",2023-06-18,"900,000 EGP",No
Hyundai Matrix 2006,"['Hyundai', 'Matrix', 'Black', '145,000 Km', 'Alexandria']",2023-06-18,"368,000 EGP",No
Hyundai Elantra HD 2021,"['Hyundai', 'Elantra HD', 'Light grey', 'A/T / HIGHLINE TINTED GLASS 15""', '100,000 Km', '10th of Ramadan']",2023-06-18,"550,000 EGP",No
Hyundai Elantra AD 2017,"['Hyundai', 'Elantra AD', 'Light grey', '120,000 Km', 'Kerdasa']",2023-06-18,"500,000 EGP",No
Hyundai Accent RB 2014,"['Hyundai', 'Accent RB', 'Silver', '270,000 Km', 'Cairo']",2023-06-18,"365,000 EGP",No
Hyundai Elantra AD 2020,"['Hyundai', 'Elantra AD', 'Red', 'Automatic / GL / SR / AD', '102,000 Km', 'Giza']",2023-06-18,"850,000 EGP",No
Hyundai Verna 2007,"['Hyundai', 'Verna', 'Silver', '250,000 Km', 'Kafr El Zayat']",2023-06-18,"185,000 EGP",No
Hyundai Verna 2013,"['Hyundai', 'Verna', 'Black', '215,000 Km', 'Qalyub']",2023-06-18,"185,000 EGP",No
Hyundai Elantra CN7 2023,"['Hyundai', 'Elantra CN7', 'Light grey', '2,600 Km', 'Banha']",2023-06-18,"975,000 EGP",Yes
Hyundai Verna 2007,"['Hyundai', 'Verna', 'Light grey', '157,000 Km', 'Nasr city']",2023-06-17,"198,000 EGP",No
Hyundai Elantra 2007,"['Hyundai', 'Elantra', 'Dark red', '176,000 Km', 'Maadi']",2023-06-17,"370,000 EGP",No
Hyundai Elantra CN7 2023,"['Hyundai', 'Elantra CN7', 'Silver', '12,000 Km', 'Faiyum']",2023-06-17,"1,130,000 EGP",No
Hyundai Elantra MD 2012,"['Hyundai', 'Elantra MD', 'Light grey', '145,000 Km', 'Beni Suef']",2023-06-17,"420,000 EGP",No
Hyundai Matrix 2008,"['Hyundai', 'Matrix', 'Light grey', '127,000 Km', 'Shobra']",2023-06-17,"310,000 EGP",No
Hyundai Elantra AD 2020,"['Hyundai', 'Elantra AD', 'Black', 'Automatic / GL / SR / AD', '72,000 Km', 'Heliopolis']",2023-06-17,"760,000 EGP",Yes
Hyundai Matrix 2008,"['Hyundai', 'Matrix', 'Olive', '185,000 Km', 'Gharbia']",2023-06-17,"370,000 EGP",No
